date,venue,race_no,race_id,start_at,close_at,seconds_to_close_at_prediction,strategy_version,bet_type,bet_label,candidate_rank,buy,prob,odds_used,expected_profit_100yen,is_selected
2026-09-26,弥彦,1,012120260926,1790423820,1790423520,775,near_close_v2_20260805,exacta,2車単,1,3-4,0.29503597538210535,8.6,154,False
2026-09-26,弥彦,1,012120260926,1790423820,1790423520,775,near_close_v2_20260805,exacta,2車単,2,3-1,0.1969821893643943,22.1,335,False
2026-09-26,弥彦,1,012120260926,1790423820,1790423520,775,near_close_v2_20260805,exacta,2車単,3,4-3,0.1532628378890717,8.2,26,False
2026-09-26,弥彦,1,012120260926,1790423820,1790423520,775,near_close_v2_20260805,exacta,2車単,4,1-3,0.09416842304988611,22.6,113,False
2026-09-26,弥彦,1,012120260926,1790423820,1790423520,775,near_close_v2_20260805,exacta,2車単,5,3-2,0.0630989990824496,4.4,-72,False
2026-09-26,弥彦,1,012120260926,1790423820,1790423520,775,near_close_v2_20260805,exacta,2車単,6,4-1,0.035987587668496294,11.5,-59,False
2026-09-26,弥彦,1,012120260926,1790423820,1790423520,775,near_close_v2_20260805,exacta,2車単,7,1-4,0.03311838768882665,16.8,-44,False
2026-09-26,弥彦,1,012120260926,1790423820,1790423520,775,near_close_v2_20260805,exacta,2車単,8,2-3,0.02720344771610697,8.7,-76,False
2026-09-26,弥彦,1,012120260926,1790423820,1790423520,775,near_close_v2_20260805,exacta,2車単,9,3-6,0.01731665215947528,29.7,-49,False
2026-09-26,弥彦,1,012120260926,1790423820,1790423520,775,near_close_v2_20260805,exacta,2車単,10,4-2,0.011527848119676143,27.4,-68,False
2026-09-26,弥彦,1,012120260926,1790423820,1790423520,775,near_close_v2_20260805,exacta,2車単,11,2-4,0.009567265743183178,35.9,-66,False
2026-09-26,弥彦,1,012120260926,1790423820,1790423520,775,near_close_v2_20260805,exacta,2車単,12,6-3,0.007223124099219158,54.8,-60,False
2026-09-26,弥彦,1,012120260926,1790423820,1790423520,775,near_close_v2_20260805,exacta,2車単,13,1-2,0.00708299085114293,21.2,-85,False
2026-09-26,弥彦,1,012120260926,1790423820,1790423520,775,near_close_v2_20260805,exacta,2車単,14,2-1,0.0063876310334102255,23.1,-85,False
2026-09-26,弥彦,1,012120260926,1790423820,1790423520,775,near_close_v2_20260805,exacta,2車単,15,4-6,0.003163659312168334,49.6,-84,False
2026-09-26,弥彦,1,012120260926,1790423820,1790423520,775,near_close_v2_20260805,exacta,2車単,16,6-4,0.002540323141184174,61.2,-84,False
2026-09-26,弥彦,1,012120260926,1790423820,1790423520,775,near_close_v2_20260805,exacta,2車単,17,1-6,0.001943829388762885,52.0,-90,False
2026-09-26,弥彦,1,012120260926,1790423820,1790423520,775,near_close_v2_20260805,exacta,2車単,18,6-1,0.0016960589751653867,130.2,-78,False
