date,venue,race_no,race_id,start_at,close_at,source_url,schedule_fetched_at_jst
2026-09-19,小松島,1,017320260919,1789774200,1789773900,https://www.winticket.jp/keirin/komatsushima/racecard/2026091773/3/1,2026-09-19T02:45:53+09:00
2026-09-19,小松島,2,027320260919,1789775400,1789775100,https://www.winticket.jp/keirin/komatsushima/racecard/2026091773/3/2,2026-09-19T02:45:53+09:00
2026-09-19,小松島,3,037320260919,1789776660,1789776360,https://www.winticket.jp/keirin/komatsushima/racecard/2026091773/3/3,2026-09-19T02:45:53+09:00
2026-09-19,小松島,4,047320260919,1789777920,1789777620,https://www.winticket.jp/keirin/komatsushima/racecard/2026091773/3/4,2026-09-19T02:45:53+09:00
2026-09-19,小松島,5,057320260919,1789779180,1789778880,https://www.winticket.jp/keirin/komatsushima/racecard/2026091773/3/5,2026-09-19T02:45:53+09:00
2026-09-19,小松島,6,067320260919,1789780440,1789780140,https://www.winticket.jp/keirin/komatsushima/racecard/2026091773/3/6,2026-09-19T02:45:53+09:00
2026-09-19,小松島,7,077320260919,1789781700,1789781400,https://www.winticket.jp/keirin/komatsushima/racecard/2026091773/3/7,2026-09-19T02:45:53+09:00
2026-09-19,富山,1,014620260919,1789782300,1789782000,https://www.winticket.jp/keirin/toyama/racecard/2026091846/2/1,2026-09-19T02:45:53+09:00
2026-09-19,弥彦,1,012120260919,1789783020,1789782720,https://www.winticket.jp/keirin/yahiko/racecard/2026091921/1/1,2026-09-19T02:45:53+09:00
2026-09-19,富山,2,024620260919,1789783740,1789783440,https://www.winticket.jp/keirin/toyama/racecard/2026091846/2/2,2026-09-19T02:45:53+09:00
2026-09-19,弥彦,2,022120260919,1789784460,1789784160,https://www.winticket.jp/keirin/yahiko/racecard/2026091921/1/2,2026-09-19T02:45:53+09:00
2026-09-19,富山,3,034620260919,1789785180,1789784880,https://www.winticket.jp/keirin/toyama/racecard/2026091846/2/3,2026-09-19T02:45:53+09:00
2026-09-19,弥彦,3,032120260919,1789785900,1789785600,https://www.winticket.jp/keirin/yahiko/racecard/2026091921/1/3,2026-09-19T02:45:53+09:00
2026-09-19,富山,4,044620260919,1789786680,1789786380,https://www.winticket.jp/keirin/toyama/racecard/2026091846/2/4,2026-09-19T02:45:53+09:00
2026-09-19,弥彦,4,042120260919,1789787400,1789787100,https://www.winticket.jp/keirin/yahiko/racecard/2026091921/1/4,2026-09-19T02:45:53+09:00
2026-09-19,富山,5,054620260919,1789788240,1789787940,https://www.winticket.jp/keirin/toyama/racecard/2026091846/2/5,2026-09-19T02:45:53+09:00
2026-09-19,弥彦,5,052120260919,1789789020,1789788720,https://www.winticket.jp/keirin/yahiko/racecard/2026091921/1/5,2026-09-19T02:45:53+09:00
2026-09-19,富山,6,064620260919,1789789920,1789789620,https://www.winticket.jp/keirin/toyama/racecard/2026091846/2/6,2026-09-19T02:45:53+09:00
2026-09-19,弥彦,6,062120260919,1789790760,1789790460,https://www.winticket.jp/keirin/yahiko/racecard/2026091921/1/6,2026-09-19T02:45:53+09:00
2026-09-19,富山,7,074620260919,1789791720,1789791420,https://www.winticket.jp/keirin/toyama/racecard/2026091846/2/7,2026-09-19T02:45:53+09:00
2026-09-19,弥彦,7,072120260919,1789792140,1789791840,https://www.winticket.jp/keirin/yahiko/racecard/2026091921/1/7,2026-09-19T02:45:53+09:00
2026-09-19,弥彦,8,082120260919,1789793520,1789793220,https://www.winticket.jp/keirin/yahiko/racecard/2026091921/1/8,2026-09-19T02:45:53+09:00
