bet_type,buy,prob,race_id,odds_used,is_actual,actual_buy,date,venue,race_no,expected_profit_100yen,stake_yen,is_hit,return_yen,profit_yen,bet_label
trifecta,5-2-1,0.0993418742931705,105320241029,276.0,False,1-4-3,2024-10-29,奈良,10,2641.8357304915057,500,False,0.0,-500.0,3連単
trifecta,5-1-2,0.1113535831842313,105320241029,214.4,False,1-4-3,2024-10-29,奈良,10,2287.4208234699195,500,False,0.0,-500.0,3連単
trifecta,3-4-6,0.15979215144406803,091120241029,105.1,False,4-1-6,2024-10-29,函館,9,1579.4155116771549,500,False,0.0,-500.0,3連単
trifecta,2-1-3,0.07781029216834075,124620241029,192.8,False,6-3-7,2024-10-29,富山,12,1400.1824330056097,500,False,0.0,-500.0,3連単
trifecta,4-3-6,0.06505890760537751,091120241029,230.5,False,4-1-6,2024-10-29,函館,9,1399.6078203039517,500,False,0.0,-500.0,3連単
trio,3-4-6,0.3289702480084584,091120241029,42.1,False,1-4-6,2024-10-29,函館,9,1284.9647441156098,500,False,0.0,-500.0,3連複
trifecta,2-1-6,0.05696050809969295,124620241029,233.3,False,6-3-7,2024-10-29,富山,12,1228.8886539658365,500,False,0.0,-500.0,3連単
exacta,5-2,0.22131472503496483,105320241029,57.6,False,1-4,2024-10-29,奈良,10,1174.7728162013975,400,False,0.0,-400.0,2車単
trifecta,2-1-3,0.2911014904730143,043720241029,30.0,False,1-3-2,2024-10-29,伊東,4,773.3044714190429,300,False,0.0,-300.0,3連単
quinella,1-6,0.06584774681177673,072720241029,128.1,False,7-9,2024-10-29,京王閣,7,743.5096366588599,300,False,0.0,-300.0,2車複
exacta,5-1,0.2913238402110711,105320241029,28.4,False,1-4,2024-10-29,奈良,10,727.3597061994419,300,False,0.0,-300.0,2車単
trifecta,1-2-3,0.3875271650535011,043720241029,20.4,False,1-3-2,2024-10-29,伊東,4,690.5554167091422,300,False,0.0,-300.0,3連単
exacta,1-6,0.0532591933942062,072720241029,142.9,False,9-7,2024-10-29,京王閣,7,661.0738736032066,300,False,0.0,-300.0,2車単
trifecta,2-1-6,0.03606396221920789,127120241029,210.9,False,4-6-2,2024-10-29,高松,12,660.5889632030945,300,False,0.0,-300.0,3連単
trifecta,7-1-2,0.5687510207527857,011120241029,12.9,False,7-1-6,2024-10-29,函館,1,633.6888167710936,300,False,0.0,-300.0,3連単
exacta,1-2,0.19225569280784274,124620241029,35.3,False,6-3,2024-10-29,富山,12,578.6625956116849,200,False,0.0,-200.0,2車単
trifecta,2-6-1,0.022489703614082507,127120241029,278.0,False,4-6-2,2024-10-29,高松,12,525.2137604714937,200,False,0.0,-200.0,3連単
trifecta,1-7-6,0.02540072064612653,072720241029,232.3,False,9-7-5,2024-10-29,京王閣,7,490.0587406095193,200,False,0.0,-200.0,3連単
exacta,2-1,0.24722176440604599,124620241029,23.1,False,6-3,2024-10-29,富山,12,471.08227577796623,200,False,0.0,-200.0,2車単
exacta,2-1,0.0957722279148063,127120241029,47.0,False,4-6,2024-10-29,高松,12,350.12947119958966,200,False,0.0,-200.0,2車単
quinella_place,1-6,0.13397824938171327,072720241029,33.0,False,5-7|5-9|7-9,2024-10-29,京王閣,7,342.1282229596538,200,False,0.0,-200.0,ワイド
quinella_place,4-6,0.3331147286770529,091120241029,12.5,True,1-4|1-6|4-6,2024-10-29,函館,9,316.39341084631616,200,True,2500.0,2300.0,ワイド
trifecta,1-9-7,0.11341175504938247,072720241029,35.4,False,9-7-5,2024-10-29,京王閣,7,301.477612874814,200,False,0.0,-200.0,3連単
trio,1-2-3,0.7784215618901611,043720241029,4.8,True,1-2-3,2024-10-29,伊東,4,273.6423497072773,100,True,480.0,380.0,3連複
exacta,2-1,0.37274015283973505,043720241029,9.6,False,1-3,2024-10-29,伊東,4,257.83054672614566,100,False,0.0,-100.0,2車単
exacta,1-2,0.4962081592123684,043720241029,7.1,False,1-3,2024-10-29,伊東,4,252.30779304078155,100,False,0.0,-100.0,2車単
quinella,2-6,0.07516264996895108,124620241029,46.2,False,3-6,2024-10-29,富山,12,247.25144285655404,100,False,0.0,-100.0,2車複
exacta,2-6,0.03679484404082494,127120241029,92.8,False,4-6,2024-10-29,高松,12,241.45615269885545,100,False,0.0,-100.0,2車単
quinella_place,1-6,0.20082703098199184,124620241029,16.9,False,3-6|3-7|6-7,2024-10-29,富山,12,239.39768235956618,100,False,0.0,-100.0,ワイド
exacta,3-4,0.4392816399241248,091120241029,7.7,False,4-1,2024-10-29,函館,9,238.24686274157608,100,False,0.0,-100.0,2車単
quinella,1-3,0.05842126399162749,124620241029,57.0,False,3-6,2024-10-29,富山,12,233.0012047522767,100,False,0.0,-100.0,2車複
quinella,1-2,0.8689483120521034,043720241029,3.8,False,1-3,2024-10-29,伊東,4,230.20035857979929,100,False,0.0,-100.0,2車複
quinella,3-4,0.6181338761966046,091120241029,5.3,False,1-4,2024-10-29,函館,9,227.61095438420048,100,False,0.0,-100.0,2車複
exacta,4-3,0.1788522362724799,091120241029,16.4,False,4-1,2024-10-29,函館,9,193.31766748686704,100,False,0.0,-100.0,2車単
quinella_place,3-6,0.37939390167765796,091120241029,7.7,False,1-4|1-6|4-6,2024-10-29,函館,9,192.13330429179663,100,False,0.0,-100.0,ワイド
quinella_place,1-3,0.27475404512576623,124620241029,10.5,False,3-6|3-7|6-7,2024-10-29,富山,12,188.49174738205457,100,False,0.0,-100.0,ワイド
quinella,5-7,0.1492438450822755,105320241029,19.1,False,1-4,2024-10-29,奈良,10,185.0557441071462,100,False,0.0,-100.0,2車複
trio,1-7-9,0.29633692670438155,072720241029,9.4,False,5-7-9,2024-10-29,京王閣,7,178.55671110211867,100,False,0.0,-100.0,3連複
quinella,3-6,0.11594109338260124,091120241029,23.4,False,1-4,2024-10-29,函館,9,171.30215851528686,100,False,0.0,-100.0,2車複
trio,1-2-3,0.08508879324138063,127120241029,30.5,False,2-4-6,2024-10-29,高松,12,159.52081938621095,100,False,0.0,-100.0,3連複
quinella,1-2,0.22433954942217674,127120241029,11.2,False,4-6,2024-10-29,高松,12,151.26029535283791,100,False,0.0,-100.0,2車複
quinella_place,2-3,0.7795731133345706,043720241029,3.1,True,1-2|1-3|2-3,2024-10-29,伊東,4,141.6676651337169,100,True,310.0,210.0,ワイド
exacta,1-9,0.24094505345458778,072720241029,9.9,False,9-7,2024-10-29,京王閣,7,138.53560292004192,100,False,0.0,-100.0,2車単
trio,1-2-6,0.022412848055559133,072720241029,102.7,False,5-7-9,2024-10-29,京王閣,7,130.1799495305923,100,False,0.0,-100.0,3連複
trifecta,1-7-2,0.1743432644897063,011120241029,13.1,False,7-1-6,2024-10-29,函館,1,128.38967648151524,100,False,0.0,-100.0,3連単
trifecta,1-3-2,0.10806437757411229,018320241029,20.6,False,1-4-2,2024-10-29,久留米,1,122.61261780267132,100,False,0.0,-100.0,3連単
